,proportion,type,ROI,net,layer
0,0.844517574488709,perceptual,IT,dcrandom,ReLu2
1,0.21479232429540315,semantic,IT,dcrandom,ReLu2
2,0.18462070888419096,perceptual,IT,dcrandom,ReLu7
3,0.009372361731899285,semantic,IT,dcrandom,ReLu7
4,0.039990833243230946,perceptual,IT,dctrained,ReLu2
5,0.011687194590840565,semantic,IT,dctrained,ReLu2
6,0.007110309850616253,perceptual,IT,dctrained,ReLu7
7,0.029367480580292007,semantic,IT,dctrained,ReLu7
8,0.029750388643943575,perceptual,IT,alexnettrained,ReLu2
9,0.026120486801528158,semantic,IT,alexnettrained,ReLu2
10,0.027807410238521884,perceptual,IT,alexnettrained,ReLu7
11,0.06427431565684442,semantic,IT,alexnettrained,ReLu7
12,1.9484972000714769,perceptual,EVC,dcrandom,ReLu2
13,0.0008573742622645867,semantic,EVC,dcrandom,ReLu2
14,0.30547623619412423,perceptual,EVC,dcrandom,ReLu7
15,0.00020036472333976932,semantic,EVC,dcrandom,ReLu7
16,0.07447448089475803,perceptual,EVC,dctrained,ReLu2
17,0.0005180143428792698,semantic,EVC,dctrained,ReLu2
18,0.09207140857135973,perceptual,EVC,dctrained,ReLu7
19,0.0015663841734273416,semantic,EVC,dctrained,ReLu7
20,0.07675074152392083,perceptual,EVC,alexnettrained,ReLu2
21,0.0019610905346057247,semantic,EVC,alexnettrained,ReLu2
22,0.08668421526759193,perceptual,EVC,alexnettrained,ReLu7
23,0.005922588613002593,semantic,EVC,alexnettrained,ReLu7
